"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
17,"1","2025-04-17T14:35:01.270246Z",1,7.799,"Neutral","With cybersecurity things become easier, you can use google to spy on someone find documents and many more and it legal as long as you dont share or use it in any way","2025-04-17T14:35:01.270246Z"
18,"1","2025-04-17T14:35:12.886603Z",2,11.434,"Negative","im a sol bull and i think 2500 is ridic","2025-04-17T14:35:12.886603Z"
19,"1","2025-04-17T14:35:21.547381Z",3,8.48,"Neutral","Who all are knowing everything but are still watching the video 😁😁","2025-04-17T14:35:21.547381Z"
20,"1","2025-04-17T14:36:17.054423Z",4,55.33,"Negative","@themuttmart I am lost. Please help me find a good home. ","2025-04-17T14:36:17.054423Z"
21,"1","2025-04-17T14:36:21.158224Z",5,3.905,"Neutral"," @Randomly_Random99  Sure!","2025-04-17T14:36:21.158224Z"
22,"1","2025-04-17T14:36:35.922630Z",6,14.593,"Positive","holy shit that was insane. I can't believe I haven't seen this battle until now.","2025-04-17T14:36:35.922630Z"
23,"1","2025-04-17T14:36:40.135463Z",7,4.018,"Neutral","La rreseta esta muy deliciosa pero muy. Lenta desespera  desde barrañquilla😀😃🤣🤣","2025-04-17T14:36:40.135463Z"
24,"1","2025-04-17T14:36:42.490168Z",8,2.183,"Neutral","Em","2025-04-17T14:36:42.490168Z"
25,"1","2025-04-17T14:36:49.294702Z",9,6.608,"Neutral","Am back just had to deal with a dead budgie ","2025-04-17T14:36:49.294702Z"
26,"1","2025-04-17T14:36:52.772834Z",10,3.308,"Neutral","Give me a @bing invite noooooow!!  ","2025-04-17T14:36:52.772834Z"
27,"1","2025-04-17T14:36:54.334952Z",11,1.368,"Neutral","Oh... Maybe i'll come visit you... ","2025-04-17T14:36:54.334952Z"
28,"1","2025-04-17T14:36:56.937941Z",12,2.421,"Neutral","I'm surprised that this name is being mentioned here, I stumbled upon one of his clients testimonies on CNBC news last week...","2025-04-17T14:36:56.937941Z"
29,"1","2025-04-17T14:37:00.434229Z",13,3.315,"Neutral","❤😢","2025-04-17T14:37:00.434229Z"
30,"1","2025-04-17T14:37:10.389815Z",14,9.778,"Neutral","@Orchidflower The humans are all fine but we have an unwelcome colony of ants to deal with... they went but now back ","2025-04-17T14:37:10.389815Z"
31,"1","2025-04-17T14:37:13.296499Z",15,2.418,"Neutral","lazy dayzzzz, j.o.n.a.s premieres tonight though! ","2025-04-17T14:37:13.296499Z"
32,"1","2025-04-17T14:37:21.147657Z",16,7.663,"Negative","Both dogs having surgery plus crazy day at the office equals anticipating  stress.  it'll be fine. Get through it.","2025-04-17T14:37:21.147657Z"
33,"1","2025-04-17T14:37:25.334381Z",17,4.016,"Neutral","Good Thursday Morning! I'm still sleepy but can't sleep anymore.  ","2025-04-17T14:37:25.334381Z"
34,"1","2025-04-17T14:37:33.108095Z",18,7.592,"Negative","@websitejeff awww you r not ugly! (via @OneRideWarrior) see I say something nice and you ignore me.... ","2025-04-17T14:37:33.108095Z"
35,"1","2025-04-17T14:37:43.049781Z",19,9.77,"Neutral","Kate Nash inspires deep mother conversations. I an 12 minutes late for work bc mom was slow. ","2025-04-17T14:37:43.049781Z"
36,"1","2025-04-17T14:37:46.502774Z",20,3.281,"Neutral","so it's 230am and i just finished making an army load of chicken salad. busy life, I have! ","2025-04-17T14:37:46.502774Z"
37,"1","2025-04-17T14:37:50.659813Z",21,3.982,"Neutral","@_ophelia lol its too big for free yousendit, lol will have to split it ","2025-04-17T14:37:50.659813Z"
38,"1","2025-04-17T14:37:57.568439Z",22,6.733,"Neutral","Not sleep but i should be. Gotta work in the am. ","2025-04-17T14:37:57.568439Z"
39,"1","2025-04-17T14:38:02.980933Z",23,5.239,"Neutral","I'm not really into cars, what does this mean?","2025-04-17T14:38:02.980933Z"
40,"1","2025-04-17T14:38:06.283562Z",24,3.124,"Negative","@lucylumcfly mmmmm yeah! History for me, suckkkky Vietnam! Hahaha my wet hair a dripping everywhere  x x x","2025-04-17T14:38:06.283562Z"
41,"1","2025-04-17T14:38:10.459123Z",25,3.989,"Neutral","need to lose weight!!! Been eating so much lately,. ","2025-04-17T14:38:10.459123Z"
