,text,sentiment
0,hey see video get   g eclipse end having flood engine not wanna rid dream car,1.0
1,great advice love explain clearly not forget try Dermo Plan Syrup Planet Ayurveda skin support tip,2.0
2,lol odd ill probably lose bloody phone,0.0
3,"probably good tutorial ML 
  beginner",2.0
4,word integrity,1.0
5,thank Matt Ill check tonight,2.0
6,ur ff set private not reed,1.0
7,hey ur young sibling,1.0
8,thank explain clearly clear like explanation,2.0
9,d alongside pdk gt,1.0
10,sense guess bot,0.0
11,aquarius far     lonesome,1.0
12,tell,1.0
13,"start design research think 
  colour choice 
  sample colour 
  context 
  font pair 
  point interest",1.0
14,gem love voice,2.0
15,ameen,1.0
16,u great job u deserve,2.0
17,wear makeup,1.0
18,come watch video,2.0
19,see great tshirt yesterday   quotdont let Cancer Steal nd Basequot high school girl softball player,2.0
20,soon,2.0
21,not feel good today,0.0
22,go people feel way commit violence trump way bring bad people,0.0
23,happy birthday brittany remember turn   m old,2.0
24,time go outside,1.0
25,use edit thumbnail video love,2.0
26,tell type hard sound like quotim make popcornquot,1.0
27,play fall   david archuleta   nice song,2.0
28,way bad Hornish Sr show,0.0
29,well fast furious movie,2.0
30,try day Gran,1.0
31,lose help find good home,0.0
32,great reading thank   resonate,2.0
33,work awesome weekend camping,2.0
34,cool yep pic good mood,2.0
35,appreciate cheer,2.0
36,love turtle thumbnail set,2.0
37,high,1.0
38,day work today,1.0
39,Aarrgghh world collapse,0.0
40,love quote   m go write,2.0
41,have fun,2.0
42,shrew tame Love miss sophie   grace,2.0
43,bur actually extraordinary,2.0
44,break partying party guy promise Haha,2.0
45,want evidence base hair care routine,2.0
46,feel hot probably spend evening home,0.0
47,mean law school keep away   damn timezone kick,0.0
48,find m pregnant   Happiest news world,2.0
49,love tiny little flipper,2.0
50,ok ok wat people everyone weekend tell   u not shit loll,1.0
51,cringe not hair makeup,0.0
52,sheer stupidity come mouth want throw rocket try care,0.0
53,thursday episode   amp pregnant,1.0
54,probably   week naman daw FB end someone house play GH,1.0
55,lucky want someday visit dad hometown hear amazing,2.0
56,continue improvement video image generation mistake AI spelling easy way create image want text video improvement,2.0
57,quotcan buy ticketsquot quotwe go holequot   lt,2.0
58,ah cool s useful Ill use link example great marketing idea    thank,2.0
59,youngun take,1.0
60,January th effort readjudicate   election,1.0
61,exxelent live art,2.0
62,DAMN   easy   hour today exceed expectation,2.0
63,watch Secret Life cry,0.0
64,wonderfuldoe PIANOTE LINE PIANO lesson,2.0
65,Yo por siempre,2.0
66,need sleep random catch cousin love work   hour sound hideous,2.0
67,not know want read,0.0
68,BBQ flood,1.0
69,puppet commercial yes stupid vitamin water commercial yes dwight DETHRONES king tonight Sad,0.0
70,Amazing teacher Bro video Halftone Effects detail,2.0
71,Cool find private investor not use tax dollar,2.0
72,"cool light type intro 

  bit funny",2.0
73,real   flower garden sprinkle fake one fake one neighbor take second look neighbor love idea add fake flower add theirs,2.0
74,high tariff break relationship country long big brother,0.0
75,have British Sea Power day   YAY,2.0
76,Dog lucky,2.0
77,point not selfimprovement s damage acknowledge selfimprovement execute damage,0.0
78,oh gosh loooove book,2.0
79,hey s Steve Aoki,1.0
80,AKFYAQUB HAMAYIL,1.0
81,congrat second rewrite k lot word cut tough,2.0
82,Good   person   go blind   limb way        think branch clear hear bud cliff   Hum,1.0
83,terbaik perkongsiani like x,1.0
84,hi nice know   btw tell download twim mobile phone phone e thank,2.0
85,like push,1.0
86,quotshit listquot night comment,0.0
87,wish abstract,1.0
88,Elon insure people Trump win popular vote,2.0
89,oh yea need massage ya,1.0
90,feel badI linereallyshould check blog go,0.0
91,software,1.0
92,sign lol goal,2.0
93,yesssssssss,2.0
94,"honestly s good see 
 s transparent comfortable 
 work not stop praise k 
 week till date speak",2.0
95,"guy engaging 
 love himno homo 
 teacher like school maybe Einstein",2.0
96,fun today w famski alil shopping,2.0
97,look like beautiful day washington,2.0
98,nahhh shell cool reckon     awesomeeee   haha chat tomorrowwwww ilyy,2.0
99,Eu amo esse vdeo OMAM   bom de mais,2.0
100,literally like year ago clean room give momentum clean diet health act life,2.0
101,silent   day beloved   ridicule away,0.0
102,absolutely have right financial planner critical portfolio strategically diversified market condition recently achieve   increase early year CFP aim sevenfigure goal q,2.0
103,exhibition,1.0
104,Wooo pick sister miss house,0.0
105,musicbefore m tiredto quotexecutionerquot,1.0
106,thank Father Heaven give life allow long Jesus amen,2.0
107,CNN talk Kamala perform Biden possible perform extensive ballot box stuff go   presidential election s doubt mind movie   mule confirm,1.0
108,accuse guy quotone Sidedquot issue get way way hand,0.0
109,nein,1.0
110,good time,2.0
111,bollock ve remember m paris week bad want cancel flight bake   OM NOM NOM,1.0
112,good point apartment   hrs away m live momma,1.0
113,super boring exam July   sooo sick,0.0
114,sell st car Ebaywhat pleasureand surprise   Yayshall,2.0
115,yes heavy majority russians,1.0
116,Halata LOL Sorry kung ang DAMING update gale sakin Addict e,2.0
117,tired bored   lonely,0.0
118,take hp trivium facebook   later m make list week summer,1.0
119,thank,2.0
120,bored,0.0
